,Job Title,Job Description,Skills,combined_text
32,senior build engineer,oversees build processes for software projects at a senior level. responsible for optimizing build times and maintaining build infrastructure.,"maven, gradle, ant, jenkins, ci/cd, git, build automation, scripting, linux, version control, leadership, mentoring","senior build engineer maven, gradle, ant, jenkins, ci/cd, git, build automation, scripting, linux, version control, leadership, mentoring oversees build processes for software projects at a senior level. responsible for optimizing build times and maintaining build infrastructure."
33,senior devops engineer,drives devops initiatives at a senior level. responsibilities include mentoring team members and implementing automation strategies.,"docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, cloud computing, leadership","senior devops engineer docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, cloud computing, leadership drives devops initiatives at a senior level. responsibilities include mentoring team members and implementing automation strategies."
34,site reliability engineer (kubernetes – docker),focuses on maintaining high availability of containerized applications using kubernetes/docker while implementing sre best practices.,"sre, kubernetes, docker, linux, cloud computing, monitoring, automation, ci/cd, networking, troubleshooting","site reliability engineer (kubernetes – docker) sre, kubernetes, docker, linux, cloud computing, monitoring, automation, ci/cd, networking, troubleshooting focuses on maintaining high availability of containerized applications using kubernetes/docker while implementing sre best practices."
35,splunk engineer,"implements splunk solutions for log analysis, security monitoring, and operational intelligence. responsible for creating dashboards/alerts and managing data ingestion.","splunk, data analysis, log management, security, dashboards, alerting, scripting, linux, aws, azure","splunk engineer splunk, data analysis, log management, security, dashboards, alerting, scripting, linux, aws, azure implements splunk solutions for log analysis, security monitoring, and operational intelligence. responsible for creating dashboards/alerts and managing data ingestion."
36,.net developer,develops applications using .net framework technologies including c#. responsibilities include application design/development/testing.,".net, c#, asp.net, sql server, web api, mvc, entity framework, linq, git, cloud computing",".net developer .net, c#, asp.net, sql server, web api, mvc, entity framework, linq, git, cloud computing develops applications using .net framework technologies including c#. responsibilities include application design/development/testing."
37,accessibility specialist,"ensures digital content meets accessibility standards (e.g., wcag). conducts audits/reviews to improve accessibility compliance.","wcag, aria, accessibility testing, assistive technologies, html, css, javascript, ui/ux, ada compliance","accessibility specialist wcag, aria, accessibility testing, assistive technologies, html, css, javascript, ui/ux, ada compliance ensures digital content meets accessibility standards (e.g., wcag). conducts audits/reviews to improve accessibility compliance."
38,agile project manager,"manages agile projects by facilitating scrum ceremonies (e.g., sprint planning). ensures team adherence to agile principles/methodologies.","agile methodologies, scrum, kanban, project management, stakeholder management, communication, jira, confluence","agile project manager agile methodologies, scrum, kanban, project management, stakeholder management, communication, jira, confluence manages agile projects by facilitating scrum ceremonies (e.g., sprint planning). ensures team adherence to agile principles/methodologies."
39,android developer,develops mobile applications using android sdk/java/kotlin technologies while focusing on ui/ux design principles.,"android sdk, java, kotlin, ui/ux design, rest apis, sql, android studio, firebase, mobile development","android developer android sdk, java, kotlin, ui/ux design, rest apis, sql, android studio, firebase, mobile development develops mobile applications using android sdk/java/kotlin technologies while focusing on ui/ux design principles."
40,ansible automation engineer,automates it tasks using ansible playbooks/scripts while managing configurations across environments.,"ansible, automation, infrastructure as code, cloud computing, aws, azure, linux, python, scripting, networking","ansible automation engineer ansible, automation, infrastructure as code, cloud computing, aws, azure, linux, python, scripting, networking automates it tasks using ansible playbooks/scripts while managing configurations across environments."
41,appdynamics engineer,monitors application performance using appdynamics tools while providing insights into application health/performance metrics.,"appdynamics, application performance monitoring, troubleshooting, java, .net, cloud computing, metrics, alerting","appdynamics engineer appdynamics, application performance monitoring, troubleshooting, java, .net, cloud computing, metrics, alerting monitors application performance using appdynamics tools while providing insights into application health/performance metrics."
42,application security engineer,focuses on securing applications through vulnerability assessments/pentesting while implementing security best practices.,"application security, sast, dast, penetration testing, vulnerability management, owasp, secure coding, cloud security","application security engineer application security, sast, dast, penetration testing, vulnerability management, owasp, secure coding, cloud security focuses on securing applications through vulnerability assessments/pentesting while implementing security best practices."
43,artifactory engineer,manages artifactory repositories while integrating them into ci/cd pipelines to ensure efficient artifact management.,"artifactory, ci/cd, jenkins, maven, gradle, docker, build automation, version control, git, cloud computing, linux","artifactory engineer artifactory, ci/cd, jenkins, maven, gradle, docker, build automation, version control, git, cloud computing, linux manages artifactory repositories while integrating them into ci/cd pipelines to ensure efficient artifact management."
44,aws devops engineer,implements devops practices on aws platform while utilizing services like ec2/s3/lambda to automate deployments.,"aws, devops, ci/cd, terraform, ansible, cloudformation, docker, kubernetes, linux, automation, scripting","aws devops engineer aws, devops, ci/cd, terraform, ansible, cloudformation, docker, kubernetes, linux, automation, scripting implements devops practices on aws platform while utilizing services like ec2/s3/lambda to automate deployments."
45,aws solutions architect,designs scalable cloud architectures on aws platform while providing guidance on best practices/security compliance.,"aws, cloud architecture, aws lambda, ec2, s3, cloudformation, devops, terraform, security, cloud security, networking","aws solutions architect aws, cloud architecture, aws lambda, ec2, s3, cloudformation, devops, terraform, security, cloud security, networking designs scalable cloud architectures on aws platform while providing guidance on best practices/security compliance."
46,azure devops engineer,implements devops solutions on azure platform while utilizing azure devops services/tools to automate deployments.,"azure, devops, ci/cd, terraform, ansible, arm templates, docker, kubernetes, linux, automation, scripting","azure devops engineer azure, devops, ci/cd, terraform, ansible, arm templates, docker, kubernetes, linux, automation, scripting implements devops solutions on azure platform while utilizing azure devops services/tools to automate deployments."
47,bamboo engineer,"manages ci/cd processes using bamboo. responsibilities include configuring build plans, integrating with version control systems, and ensuring smooth deployment pipelines.","bamboo, ci/cd, atlassian suite, automation, scripting, build automation, version control, git","bamboo engineer bamboo, ci/cd, atlassian suite, automation, scripting, build automation, version control, git manages ci/cd processes using bamboo. responsibilities include configuring build plans, integrating with version control systems, and ensuring smooth deployment pipelines."
48,bitbucket engineer,"administers bitbucket repositories for version control. responsible for managing user permissions, branch strategies, and pull requests.","bitbucket, git, version control, ci/cd, atlassian suite, branching strategies, code review","bitbucket engineer bitbucket, git, version control, ci/cd, atlassian suite, branching strategies, code review administers bitbucket repositories for version control. responsible for managing user permissions, branch strategies, and pull requests."
49,blockchain developer,develops blockchain-based applications and smart contracts. requires knowledge of blockchain frameworks such as ethereum and programming languages like solidity.,"blockchain, ethereum, smart contracts, solidity, cryptocurrency, distributed ledger, consensus algorithms, web3, javascript, node.js","blockchain developer blockchain, ethereum, smart contracts, solidity, cryptocurrency, distributed ledger, consensus algorithms, web3, javascript, node.js develops blockchain-based applications and smart contracts. requires knowledge of blockchain frameworks such as ethereum and programming languages like solidity."
50,business systems analyst,analyzes business needs and translates them into technical requirements. works closely with stakeholders to improve processes and implement technology solutions.,"business analysis, requirements gathering, process improvement, stakeholder management, sql, data analysis, uml, bpmn","business systems analyst business analysis, requirements gathering, process improvement, stakeholder management, sql, data analysis, uml, bpmn analyzes business needs and translates them into technical requirements. works closely with stakeholders to improve processes and implement technology solutions."
51,c# developer,"develops applications using c# and .net technologies. responsibilities include designing, coding, testing, and debugging software applications.","c#, .net, asp.net, sql server, web api, mvc, entity framework, linq, git, cloud computing","c# developer c#, .net, asp.net, sql server, web api, mvc, entity framework, linq, git, cloud computing develops applications using c# and .net technologies. responsibilities include designing, coding, testing, and debugging software applications."
52,chef inspec engineer,utilizes chef inspec for compliance automation. responsible for writing tests to ensure systems meet security and compliance standards.,"chef inspec, compliance as code, automation, security, configuration management, linux, cloud computing","chef inspec engineer chef inspec, compliance as code, automation, security, configuration management, linux, cloud computing utilizes chef inspec for compliance automation. responsible for writing tests to ensure systems meet security and compliance standards."
53,cloud administrator,no description available,"cloud computing, aws, azure, google cloud, linux, networking, security, automation, scripting, virtualization","cloud administrator cloud computing, aws, azure, google cloud, linux, networking, security, automation, scripting, virtualization no description available"
54,cloud architect,designs cloud architecture solutions to meet business requirements. responsible for selecting appropriate cloud services and ensuring scalability/security.,"cloud architecture, aws, azure, google cloud, terraform, cloud security, networking, microservices, ci/cd, automation, docker, kubernetes","cloud architect cloud architecture, aws, azure, google cloud, terraform, cloud security, networking, microservices, ci/cd, automation, docker, kubernetes designs cloud architecture solutions to meet business requirements. responsible for selecting appropriate cloud services and ensuring scalability/security."
55,cloud automation engineer,automates cloud infrastructure management using tools like terraform or ansible. focuses on deploying resources efficiently across cloud environments.,"cloud computing, automation, terraform, ansible, python, scripting, ci/cd, aws, azure, google cloud","cloud automation engineer cloud computing, automation, terraform, ansible, python, scripting, ci/cd, aws, azure, google cloud automates cloud infrastructure management using tools like terraform or ansible. focuses on deploying resources efficiently across cloud environments."
56,cloud engineer,"builds and maintains cloud infrastructure. responsibilities include configuring cloud services, optimizing performance, and ensuring security compliance.","cloud computing, aws, azure, google cloud, linux, networking, security, automation, scripting, virtualization","cloud engineer cloud computing, aws, azure, google cloud, linux, networking, security, automation, scripting, virtualization builds and maintains cloud infrastructure. responsibilities include configuring cloud services, optimizing performance, and ensuring security compliance."
57,cloud network engineer,"designs and manages networking solutions within cloud environments. focuses on vpcs, subnets, routing configurations, and security groups.","cloud networking, aws, azure, google cloud, vpc, subnets, routing, security groups, firewalls","cloud network engineer cloud networking, aws, azure, google cloud, vpc, subnets, routing, security groups, firewalls designs and manages networking solutions within cloud environments. focuses on vpcs, subnets, routing configurations, and security groups."
58,cloud security engineer,"implements security measures for cloud environments. responsibilities include identity management, data protection, and compliance auditing.","cloud security, iam, identity and access management, encryption, aws, azure, gcp, vulnerability management, compliance","cloud security engineer cloud security, iam, identity and access management, encryption, aws, azure, gcp, vulnerability management, compliance implements security measures for cloud environments. responsibilities include identity management, data protection, and compliance auditing."
59,cnc programmer,creates cnc programs for machining operations. responsible for interpreting blueprints and optimizing tool paths for efficiency.,"cnc programming, g-code, cad/cam, machining, manufacturing processes, blueprints, toolpath optimization","cnc programmer cnc programming, g-code, cad/cam, machining, manufacturing processes, blueprints, toolpath optimization creates cnc programs for machining operations. responsible for interpreting blueprints and optimizing tool paths for efficiency."
60,coder,writes code in various programming languages to develop software applications. responsibilities include debugging and maintaining code quality.,"programming, algorithms, data structures, problem solving, debugging, software development","coder programming, algorithms, data structures, problem solving, debugging, software development writes code in various programming languages to develop software applications. responsibilities include debugging and maintaining code quality."
61,computer graphics animator,"creates animations using computer graphics software. responsibilities include modeling, rigging, and rendering 3d assets.","3d animation, 2d animation, motion graphics, adobe creative suite, maya, blender, storyboarding, visual effects","computer graphics animator 3d animation, 2d animation, motion graphics, adobe creative suite, maya, blender, storyboarding, visual effects creates animations using computer graphics software. responsibilities include modeling, rigging, and rendering 3d assets."
62,computer hardware engineer,"designs and tests hardware components for computers. responsibilities include circuit design, prototyping, and troubleshooting hardware issues.","hardware design, circuit design, embedded systems, microprocessors, pcb design, testing, validation","computer hardware engineer hardware design, circuit design, embedded systems, microprocessors, pcb design, testing, validation designs and tests hardware components for computers. responsibilities include circuit design, prototyping, and troubleshooting hardware issues."
63,computer network architect,designs network infrastructures to support organizational needs. responsible for selecting hardware/software solutions to optimize network performance.,"network design, routing, switching, security, lan/wan, tcp/ip, vpn, firewalls, cloud networking","computer network architect network design, routing, switching, security, lan/wan, tcp/ip, vpn, firewalls, cloud networking designs network infrastructures to support organizational needs. responsible for selecting hardware/software solutions to optimize network performance."
64,computer programmer,writes code to create software applications based on specifications. responsibilities include debugging code and collaborating with other developers.,"programming, algorithms, data structures, debugging, software development, python, java, c++","computer programmer programming, algorithms, data structures, debugging, software development, python, java, c++ writes code to create software applications based on specifications. responsibilities include debugging code and collaborating with other developers."
65,computer research scientist,conducts research in computing fields to develop new technologies or methodologies. publishes findings in academic journals and presents at conferences.,"research methods, data analysis, algorithms, machine learning, publications, scientific writing, programming","computer research scientist research methods, data analysis, algorithms, machine learning, publications, scientific writing, programming conducts research in computing fields to develop new technologies or methodologies. publishes findings in academic journals and presents at conferences."
66,computer systems analyst,analyzes computer systems to identify improvements in efficiency or functionality. works closely with stakeholders to gather requirements and implement solutions.,"system analysis, requirements gathering, data analysis, process improvement, uml, sql, stakeholder management","computer systems analyst system analysis, requirements gathering, data analysis, process improvement, uml, sql, stakeholder management analyzes computer systems to identify improvements in efficiency or functionality. works closely with stakeholders to gather requirements and implement solutions."
67,confluence engineer,"manages confluence as a collaboration tool within teams. responsibilities include configuring spaces, managing permissions, and supporting documentation efforts.","confluence, atlassian suite, collaboration, documentation, workflow configuration, user management","confluence engineer confluence, atlassian suite, collaboration, documentation, workflow configuration, user management manages confluence as a collaboration tool within teams. responsibilities include configuring spaces, managing permissions, and supporting documentation efforts."
68,consul engineer,implements service discovery solutions using hashicorp consul. responsible for configuring service mesh capabilities and ensuring application connectivity.,"consul, service discovery, configuration management, networking, automation, cloud computing","consul engineer consul, service discovery, configuration management, networking, automation, cloud computing implements service discovery solutions using hashicorp consul. responsible for configuring service mesh capabilities and ensuring application connectivity."
69,coverage.py engineer,utilizes coverage.py for measuring code coverage in python applications. responsible for implementing testing strategies to improve code quality.,"coverage.py, python, testing, code coverage, quality assurance, ci/cd","coverage.py engineer coverage.py, python, testing, code coverage, quality assurance, ci/cd utilizes coverage.py for measuring code coverage in python applications. responsible for implementing testing strategies to improve code quality."
70,data analyst,"analyzes data sets to extract insights that inform business decisions. proficient in sql, excel, and data visualization tools like tableau or power bi.","sql, excel, data visualization, power bi, python, r, statistics, data mining, data cleansing, tableau, etl, data modeling","data analyst sql, excel, data visualization, power bi, python, r, statistics, data mining, data cleansing, tableau, etl, data modeling analyzes data sets to extract insights that inform business decisions. proficient in sql, excel, and data visualization tools like tableau or power bi."
71,data engineer,"builds data pipelines to support analytics initiatives. requires expertise in etl processes, sql databases, and big data technologies.","sql, etl, data warehousing, python, spark, hadoop, cloud computing, data pipelines, data modeling","data engineer sql, etl, data warehousing, python, spark, hadoop, cloud computing, data pipelines, data modeling builds data pipelines to support analytics initiatives. requires expertise in etl processes, sql databases, and big data technologies."
72,data modeler,creates data models that define how data is stored within databases. works closely with architects to ensure alignment with business requirements.,"data modeling, sql, data warehousing, database design, er diagrams, data governance","data modeler data modeling, sql, data warehousing, database design, er diagrams, data governance creates data models that define how data is stored within databases. works closely with architects to ensure alignment with business requirements."
73,data scientist,utilizes statistical analysis and machine learning techniques to derive insights from complex datasets. proficient in programming languages like python or r.,"python, r, machine learning, data science, statistics, sql, hadoop, spark, data wrangling, data visualization, cloud computing","data scientist python, r, machine learning, data science, statistics, sql, hadoop, spark, data wrangling, data visualization, cloud computing utilizes statistical analysis and machine learning techniques to derive insights from complex datasets. proficient in programming languages like python or r."
74,database administrator,"responsible for managing database systems including installation, configuration, monitoring performance, backup/recovery procedures.","sql, database management, mysql, postgresql, oracle, database design, performance tuning, backup and recovery","database administrator sql, database management, mysql, postgresql, oracle, database design, performance tuning, backup and recovery responsible for managing database systems including installation, configuration, monitoring performance, backup/recovery procedures."
75,datadog engineer,implements monitoring solutions using datadog to track application performance metrics. responsible for configuring alerts/dashboards.,"datadog, monitoring, alerting, metrics, dashboards, cloud computing, linux, troubleshooting","datadog engineer datadog, monitoring, alerting, metrics, dashboards, cloud computing, linux, troubleshooting implements monitoring solutions using datadog to track application performance metrics. responsible for configuring alerts/dashboards."
76,developer,writes software applications based on specifications provided by stakeholders. collaborates with other developers on coding best practices.,"programming, algorithms, data structures, debugging, software development, python, java, c++","developer programming, algorithms, data structures, debugging, software development, python, java, c++ writes software applications based on specifications provided by stakeholders. collaborates with other developers on coding best practices."
79,devops manager,oversees devops teams responsible for automating software delivery processes while ensuring alignment with organizational goals.,"devops, team management, project management, ci/cd, cloud computing, automation, communication, leadership, budgeting","devops manager devops, team management, project management, ci/cd, cloud computing, automation, communication, leadership, budgeting oversees devops teams responsible for automating software delivery processes while ensuring alignment with organizational goals."
